  3422   1765
   304    495
   366   1341
   391    486
   381    495
   368    482
   388    483
   374    496
   375    474
   386    481
   386    494
   364    483
   387    477
   379    494
   378   1330
   397    497
   364    485
   389    484
   378    471
   387    472
   389    482
   387    482
   379   1349
   386   1342
   385   1351
   385    492
   368    484
   385   1351
   376    503
   367    495
   365    499
   364    492
   375    481
   385    472
   385    492
   375    492
   375    492
   364    482
   385    492
   375    492
   375    481
   375    481
   385    492
   376    485
   379    492
   374    492
   366    494
   374    495
   365    481
   380    494
   376    479
   387    483
   380    487
   377    493
   365    495
   372    472
   389    470
   397    474
   387   1338
   396   1326
   409    484
   377    476
   389    494
   363    486
   377    492
   375  10012
  3436   1767
   394    494
   376   1352
   376    474
   387    486
   372    482
   384    476
   396    473
   384    493
   376    497
   365    494
   373    484
   376    493
   379    471
   390   1339
   386    496
   364    494
   377    493
   366    486
   383    484
   378    494
   367    482
   388   1332
   401   1339
   377   1341
   400    486
   375    470
   388   1349
   388    483
   377    482
   388    485
   379    473
   387    495
   366    492
   374    493
   367    495
   374    487
   383    483
   375    483
   384    487
   371    492
   376   1337
   396    494
   365    482
   377    475
   396    493
   369    483
   378   1337
   400    493
   374    493
   365    494
   373   1329
   397   1354
   385   1332
   398   1328
   396    503
   368    472
   387    481
   385    492
   369    494
   367    493
   374    477
   388    488
   374    493
   368   1338
   400   1338
   386   1337
   395   1338
   400   1336
   398    492
   365   1331
   401    494
   370   1341
   387    483
   385    491
   373    480
   385    480
   385    494
   367    496
   369    493
   374    495
   365    496
   365    495
   376    484
   377    492
   376    491
   373    484
   377    481
   387    474
   389    484
   379   1333
   394   1336
   399    484
   379    473
   388    495
   366    485
   387    494
   367    480
   385    496
   368    493
   374    474
   387    494
   373   1326
   398   1345
   386    494
   376   1335
   395    477
   386    483
   378    497
   373    495
   365    481
   387    492
   365    491
   376    470
   397   1328
   406    485
   377    495
   366    496
   367    478
   387    492
   369    483
   383    496
   365    499
   366    503
   366    493
   367    485
   387    473
   388    494
   373   1336
   387    482
   379    492
   375    482
   377    486
   377    492
   377    483
   378    482
   379    481
   385    474
   385   1336
   397   1330
   401    492
   377    485
   374    492
   369    496
   377    482
   376   1327
   410    492
   367    474
   393    495
   365    492
   367   1339
   396    493
   368   1330
   410  42919
