  3451   1742
   334    458
   409    463
   402   1312
   423   1308
   417    471
   407   1305
   433    459
   411    449
   422    450
   420   1300
   469    409
   375    499
   367   1353
   388    494
   366   1351
   387    503
   362   1361
   377    504
   365    496
   377   1346
   388    494
   342    526
   374    495
   368    494
   375   1349
   385    484
   384   1342
   397    496
   369   1344
   397   1341
   400    473
   395    496
   363    505
   366    496
   376   1332
   400   1342
   401   1340
   397   1341
   389    505
   368    490
   377  42923
